t,px,py,vx,vy
1.530000000000000071e+01,1.504225284337622384e+02,2.806572302577323264e+00,1.049292701524946558e+01,1.185800535143672341e-01
1.540000000000000036e+01,1.514721627492834557e+02,2.819219229649722269e+00,1.049975929517488282e+01,1.343584918383491922e-01
1.550000000000000000e+01,1.525169071186928420e+02,2.832756001506589794e+00,1.039512809301277052e+01,1.363769463730977460e-01
1.560000000000000142e+01,1.535569981139756521e+02,2.849955239869204515e+00,1.040669181264377663e+01,2.076078199598273832e-01
1.570000000000000107e+01,1.545939071753930705e+02,2.868464677571369137e+00,1.033148941570468438e+01,1.625809351616008258e-01
1.580000000000000071e+01,1.556208860113545143e+02,2.885798577174630619e+00,1.020808730352440641e+01,1.840970577158029808e-01
1.590000000000000036e+01,1.566419546392179996e+02,2.905342503515758956e+00,1.021328525374580920e+01,2.067814732364372798e-01
1.600000000000000000e+01,1.576627327614045555e+02,2.927203404381537588e+00,1.020227718998559752e+01,2.304365509945665025e-01
1.610000000000000142e+01,1.586808628417124680e+02,2.949429662467453195e+00,1.016032441617258719e+01,2.140886092617622083e-01
1.619999999999999929e+01,1.596933863121572870e+02,2.970865875037246973e+00,1.009014499272363885e+01,2.146356401952483339e-01
1.630000000000000071e+01,1.606992945880731725e+02,2.992833855050707204e+00,1.002802052559401425e+01,2.247239588766090645e-01
1.640000000000000213e+01,1.617029508755055360e+02,3.014985197443142084e+00,1.004510522305377229e+01,2.183028879064732863e-01
1.650000000000000000e+01,1.627064929389860595e+02,3.034718322078576502e+00,1.002573604655692918e+01,1.763596088844963106e-01
1.660000000000000142e+01,1.637086667506400772e+02,3.053340462485508500e+00,1.001774018652350229e+01,1.960832001061636187e-01
1.669999999999999929e+01,1.647102301489059926e+02,3.072505148994459478e+00,1.001352777879449185e+01,1.872105317112375822e-01
1.680000000000000071e+01,1.657113487790974204e+02,3.090281877431450663e+00,1.000884482503427719e+01,1.683240386222122353e-01
1.690000000000000213e+01,1.667116987662195697e+02,3.107003989296149182e+00,9.998154917408390574e+00,1.661181991478607178e-01
1.700000000000000000e+01,1.677135430427081246e+02,3.121848145964742471e+00,1.003873061236287967e+01,1.307649348574942694e-01
1.710000000000000142e+01,1.687158485278505111e+02,3.137195735810732522e+00,1.000737909048522489e+01,1.761868671083699767e-01
1.719999999999999929e+01,1.697190122487938027e+02,3.152476558650596061e+00,1.005589532838039268e+01,1.294295874677773295e-01
1.730000000000000071e+01,1.707261180491773871e+02,3.164956774812162088e+00,1.008622067929143462e+01,1.201747386672159801e-01
1.740000000000000213e+01,1.717387111233948644e+02,3.177874546646580978e+00,1.016564080505825096e+01,1.381806998133596476e-01
1.750000000000000000e+01,1.727543396375057512e+02,3.194897690255217082e+00,1.014692947715948890e+01,2.022821724568747703e-01
1.760000000000000142e+01,1.737710306783282306e+02,3.213516071065209534e+00,1.018689133929005486e+01,1.700854530876452220e-01
1.769999999999999929e+01,1.747868912235412608e+02,3.227509473017157404e+00,1.013031956497080266e+01,1.097825865697259207e-01
1.780000000000000071e+01,1.758001207937157631e+02,3.238985174421422641e+00,1.013427183851921143e+01,1.197314417144805104e-01
1.790000000000000213e+01,1.768126191135296779e+02,3.251594065193399441e+00,1.011569455775891946e+01,1.324463735434187328e-01
1.800000000000000000e+01,1.778220894674778663e+02,3.265034428993333737e+00,1.007371252120509553e+01,1.363608999201247340e-01
1.810000000000000142e+01,1.788301687823635575e+02,3.277773189872819515e+00,1.008787377650853045e+01,1.184143164871762077e-01
1.819999999999999929e+01,1.798408726451063160e+02,3.287282113183813692e+00,1.012620347834655199e+01,7.176414714186950261e-02
1.830000000000000071e+01,1.808551327302274956e+02,3.290794043249713141e+00,1.015899822407711817e+01,-1.525543667724851837e-03
1.840000000000000213e+01,1.818695494624600428e+02,3.291420018728554719e+00,1.012933642057413230e+01,1.404505789737418506e-02
1.850000000000000000e+01,1.828831711231297277e+02,3.291557926313898541e+00,1.014309679281965870e+01,-1.128690245551724688e-02
1.860000000000000142e+01,1.838946652191148701e+02,3.290290480689520791e+00,1.008678512688279660e+01,-1.406200258697944301e-02
1.869999999999999929e+01,1.849024986991262836e+02,3.288508141886586689e+00,1.006988447334537540e+01,-2.158477131940151478e-02
1.880000000000000071e+01,1.859108340014304588e+02,3.284080444903845208e+00,1.009682157273786984e+01,-6.696916561305535365e-02
1.890000000000000213e+01,1.869249852524341691e+02,3.276737292923801448e+00,1.018620344733624883e+01,-7.989387155790234063e-02
1.900000000000000000e+01,1.879442132968648025e+02,3.268461147790076904e+00,1.019835744127674459e+01,-8.562902697747445946e-02
1.910000000000000142e+01,1.889668945674877421e+02,3.256586078317093680e+00,1.025526797118179623e+01,-1.518723602292610664e-01
1.920000000000000284e+01,1.899927212946261932e+02,3.241019251214154462e+00,1.026126657158742361e+01,-1.594641819277128336e-01
1.930000000000000071e+01,1.910176605046404177e+02,3.225535007047757752e+00,1.023751762869652637e+01,-1.502207012376411410e-01
1.940000000000000213e+01,1.920448782046035774e+02,3.214199103814542546e+00,1.030683637056640656e+01,-7.649736066794834977e-02
1.950000000000000000e+01,1.930748304993834950e+02,3.208411231367449989e+00,1.029220952503165165e+01,-3.926008756702475955e-02
1.960000000000000142e+01,1.941066386211776944e+02,3.204916479257983397e+00,1.034395291085257718e+01,-3.063494925323232559e-02
1.970000000000000284e+01,1.951404824930110635e+02,3.202794185949044081e+00,1.033292452581496867e+01,-1.181091131144521370e-02
1.980000000000000071e+01,1.961745688139691595e+02,3.200941203790642398e+00,1.034880189334707445e+01,-2.524873111691239985e-02
1.990000000000000213e+01,1.972103803235647490e+02,3.200563062715303442e+00,1.036742829856496861e+01,1.768590909894004332e-02
2.000000000000000000e+01,1.982448030413372635e+02,3.205445419833760301e+00,1.032102605688487529e+01,7.996122734130751974e-02
2.010000000000000142e+01,1.992812944492198142e+02,3.211437199102702422e+00,1.040880210076594459e+01,3.987435468095094221e-02
2.020000000000000284e+01,2.003241378612772507e+02,3.217372164242668919e+00,1.044806614038237669e+01,7.882494969969650045e-02
2.030000000000000071e+01,2.013669755924191804e+02,3.225682756266315288e+00,1.040868848245617961e+01,8.738689298916413328e-02
2.040000000000000213e+01,2.024089633906974939e+02,3.231749373575596884e+00,1.043106748310998810e+01,3.394545842628548388e-02
2.050000000000000000e+01,2.034503496408261469e+02,3.234781188053428735e+00,1.039665751946310301e+01,2.669082890100669264e-02
2.060000000000000142e+01,2.044889441032836714e+02,3.239773761432010790e+00,1.037523172968752050e+01,7.316063440765870063e-02
2.070000000000000284e+01,2.055259622815901821e+02,3.249237695781831636e+00,1.036513183644298586e+01,1.161180594280119271e-01
2.080000000000000071e+01,2.065617646525480211e+02,3.262044011748652661e+00,1.035091558271381196e+01,1.400082620668169631e-01
2.090000000000000213e+01,2.076007492561692516e+02,3.275392706495161566e+00,1.042877648971117388e+01,1.269656359429809922e-01
2.100000000000000000e+01,2.086464514456391157e+02,3.287327458935739521e+00,1.048526729968634896e+01,1.117294111321550237e-01
2.110000000000000142e+01,2.096981211034201920e+02,3.298794608310985144e+00,1.054812585593487029e+01,1.176135778621054534e-01
2.120000000000000284e+01,2.107479168426629315e+02,3.307017401181280292e+00,1.044778892892018796e+01,4.684227331085681623e-02
2.130000000000000071e+01,2.117945391703915163e+02,3.315319707968745089e+00,1.048465762565138704e+01,1.192038600402409582e-01
2.140000000000000213e+01,2.128417952018004371e+02,3.324293588276280964e+00,1.046046300252706196e+01,6.027374895948234973e-02
2.150000000000000000e+01,2.138905274703043347e+02,3.328631697147026891e+00,1.051418236755104019e+01,2.648842874779382128e-02
2.160000000000000142e+01,2.149438737946856293e+02,3.332403779877211480e+00,1.055274412007510065e+01,4.895323059611564331e-02
2.170000000000000284e+01,2.159984600957372720e+02,3.337762574629397516e+00,1.053898190095761578e+01,5.822266018508932828e-02
2.180000000000000071e+01,2.170526663695220577e+02,3.344299112000433727e+00,1.054514357473820496e+01,7.250808605227200554e-02
2.190000000000000213e+01,2.181079103972595590e+02,3.352696657823798887e+00,1.055973698001218963e+01,9.544282966074282837e-02
2.200000000000000000e+01,2.191624862874510029e+02,3.360491515079276681e+00,1.053178082381640657e+01,6.045431523333745505e-02
2.210000000000000142e+01,2.202172548992058410e+02,3.365810370065110746e+00,1.056359141128066170e+01,4.592278212604496840e-02
2.220000000000000284e+01,2.212736717276638956e+02,3.373328920454218949e+00,1.056474515788023183e+01,1.044482279375204825e-01
2.230000000000000071e+01,2.223298468050538759e+02,3.384008323019467301e+00,1.055875638991955512e+01,1.091398189757285392e-01
2.240000000000000213e+01,2.233827122022133551e+02,3.392747945863433312e+00,1.049855155327020029e+01,6.565263973811558129e-02
2.250000000000000000e+01,2.244333115472702787e+02,3.400584322500183720e+00,1.051343534786862399e+01,9.107489544683966542e-02
2.260000000000000142e+01,2.254787452981248066e+02,3.407635410351126382e+00,1.039523966922159559e+01,4.994686628790594857e-02
2.270000000000000284e+01,2.265191714272072545e+02,3.411708229275148607e+00,1.041328291242710513e+01,3.150951291974202206e-02
2.280000000000000071e+01,2.275585273799337926e+02,3.413131210172946961e+00,1.037383614210354565e+01,-3.049896312416623678e-03
2.290000000000000213e+01,2.285937591325851486e+02,3.413848795941163861e+00,1.033079891092373259e+01,1.740161282713511767e-02
2.300000000000000000e+01,2.296251066784919885e+02,3.414446491622185498e+00,1.029615200721316626e+01,-5.447700630810625722e-03
2.310000000000000142e+01,2.306543537244631352e+02,3.416227425048318445e+00,1.028878891220965563e+01,4.106637030010051870e-02
2.320000000000000284e+01,2.316832509735389465e+02,3.419603849472576229e+00,1.028915606930649851e+01,2.646211940535366652e-02
2.330000000000000071e+01,2.327098375627489588e+02,3.422595911419756831e+00,1.024257571489423313e+01,3.337911992699919145e-02
2.340000000000000213e+01,2.337350372513644174e+02,3.427652847033090922e+00,1.026141805741531243e+01,6.775958831663753124e-02
2.350000000000000000e+01,2.347623490817846346e+02,3.433354951653493803e+00,1.028481855098930353e+01,4.628251131505238536e-02
2.360000000000000142e+01,2.357941387879749584e+02,3.437713965421962836e+00,1.035097557281729408e+01,4.089776273183691468e-02
2.370000000000000284e+01,2.368324039669405465e+02,3.445516973171772523e+00,1.041432800649462820e+01,1.151623904848830676e-01
2.380000000000000071e+01,2.378741449853633014e+02,3.459489093555229378e+00,1.042049236196070083e+01,1.642800180271171140e-01
2.390000000000000213e+01,2.389174185092514051e+02,3.473436228330624598e+00,1.044497811580131597e+01,1.146626734281991078e-01
2.400000000000000000e+01,2.399598231207152423e+02,3.483828626125296868e+00,1.040311411347539483e+01,9.318528366364103865e-02
2.410000000000000142e+01,2.410023202099739308e+02,3.493476827756221592e+00,1.044682767169820004e+01,9.977875055390028614e-02
2.420000000000000284e+01,2.420450331408732438e+02,3.496758544861520601e+00,1.040743094628800236e+01,-3.414440787996400606e-02
2.430000000000000071e+01,2.430843188082944266e+02,3.494100399372020771e+00,1.037828240213553954e+01,-1.901850486970506349e-02
2.440000000000000213e+01,2.441245345922270360e+02,3.489128332496990836e+00,1.042603327651696077e+01,-8.042283447281678432e-02
2.450000000000000000e+01,2.451686037631269812e+02,3.481337735345448881e+00,1.045535014148174291e+01,-7.538910866335214733e-02
2.460000000000000142e+01,2.462147472823804719e+02,3.475781079826793629e+00,1.046752024358760558e+01,-3.574400179383117188e-02
2.470000000000000284e+01,2.472611108752274731e+02,3.471024090630306258e+00,1.045975161335207737e+01,-5.939578066620269242e-02
2.480000000000000071e+01,2.483061534989404606e+02,3.462392878648884675e+00,1.044110086090787348e+01,-1.132284549896456494e-01
2.490000000000000213e+01,2.493507126065190107e+02,3.457063971851499939e+00,1.045008129066297364e+01,6.650317375463538072e-03
2.500000000000000000e+01,2.503927723658770503e+02,3.452903415738564963e+00,1.039111389649792017e+01,-8.986144281492301766e-02
2.510000000000000142e+01,2.514321564326744749e+02,3.443946876609250030e+00,1.039656743945043083e+01,-8.926934241128817171e-02
2.520000000000000284e+01,2.524713722663762212e+02,3.435240569627723062e+00,1.038774923458450239e+01,-8.485679973959450728e-02
2.530000000000000071e+01,2.535130751244044234e+02,3.423439061648057891e+00,1.044630792597970270e+01,-1.511733595435948985e-01
2.540000000000000213e+01,2.545579118859523930e+02,3.408391642078060446e+00,1.045042730497975292e+01,-1.497750323319144983e-01
2.550000000000000000e+01,2.555979636760765175e+02,3.393475652651949837e+00,1.035060849750231426e+01,-1.485447610684900444e-01
2.560000000000000142e+01,2.566311362685932522e+02,3.375078185990820767e+00,1.031284335283310760e+01,-2.194045729856998750e-01
2.570000000000000284e+01,2.576635633250924116e+02,3.349516729555636285e+00,1.033569777714946980e+01,-2.918245530149952693e-01
2.580000000000000071e+01,2.587012182008381274e+02,3.322294694941797744e+00,1.041739973776460459e+01,-2.526161397428764999e-01
2.590000000000000213e+01,2.597403880841814612e+02,3.296070538776292747e+00,1.036599792910169171e+01,-2.718669816721738797e-01
2.600000000000000000e+01,2.607735286095010565e+02,3.269359199790546455e+00,1.029681257728959665e+01,-2.623597999374941980e-01
2.610000000000000142e+01,2.618046482349546409e+02,3.246673562517815803e+00,1.032557993178245859e+01,-1.913529459555217138e-01
2.620000000000000284e+01,2.628370293065797227e+02,3.227437391657225874e+00,1.032204150071838988e+01,-1.933704742379150077e-01
2.630000000000000071e+01,2.638723036976949174e+02,3.204508235887548739e+00,1.038344632158511338e+01,-2.652126411852584464e-01
2.640000000000000213e+01,2.649113540398911937e+02,3.175660121077830134e+00,1.039756052234115380e+01,-3.117496534975756073e-01
2.650000000000000000e+01,2.659500433354409097e+02,3.142320458168987418e+00,1.037622538865303135e+01,-3.550436019487652750e-01
2.660000000000000142e+01,2.669877448002153528e+02,3.104318522714986983e+00,1.037780390683575504e+01,-4.049951045346044665e-01
2.670000000000000284e+01,2.680223675237069756e+02,3.061753082125632019e+00,1.031465056299700400e+01,-4.463137059830392661e-01
2.680000000000000071e+01,2.690556696212636325e+02,3.014872144539869847e+00,1.035139138813603843e+01,-4.913050420173812327e-01
2.690000000000000213e+01,2.700941009742301162e+02,2.964846433437239526e+00,1.041723567119369065e+01,-5.092091853322207040e-01
2.700000000000000000e+01,2.711370863945564906e+02,2.912405898515609604e+00,1.044247273533310327e+01,-5.396015101281007587e-01
2.710000000000000142e+01,2.721838372329298181e+02,2.856826993718736052e+00,1.049254403213385345e+01,-5.719765859913217287e-01
2.720000000000000284e+01,2.732312477337486598e+02,2.799218444792511029e+00,1.045566598424192328e+01,-5.801943920720536996e-01
2.730000000000000071e+01,2.742763259814712455e+02,2.742189239726919858e+00,1.044589897020981262e+01,-5.603897118002526545e-01
2.740000000000000213e+01,2.753230541373288247e+02,2.684960694232547684e+00,1.048866414694211890e+01,-5.841811982296564176e-01
2.750000000000000000e+01,2.763675899313042237e+02,2.627445713337869027e+00,1.040205173256605597e+01,-5.661184190595310861e-01
2.760000000000000142e+01,2.774082125988268217e+02,2.573049611826559779e+00,1.041040161788656171e+01,-5.218036136279197157e-01
2.770000000000000284e+01,2.784512894839772343e+02,2.523437040377290774e+00,1.045113608512119008e+01,-4.704478144170401999e-01
2.780000000000000071e+01,2.795003752181899586e+02,2.472728632320344566e+00,1.053057859913334404e+01,-5.437203464784394757e-01
