t,px_hat,py_hat,vx_hat,vy_hat,bax_hat,bay_hat
8.300000000000000711e+00,8.032063935184845604e+01,1.823190362931824682e+00,9.613796929892030718e+00,1.130135844385815602e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.400000000000000355e+00,8.133547942680145582e+01,1.815861976559302260e+00,9.631496536246674012e+00,1.068456683552163472e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000000e+00,8.241226271808032777e+01,1.861690382520055920e+00,9.669154003597229874e+00,1.184921139126390716e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.599999999999999645e+00,8.364169722871214674e+01,1.632592132571002219e+00,9.756229989238095257e+00,3.857131248173878424e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.700000000000001066e+00,8.449052164186181813e+01,1.778942968491399546e+00,9.714135536128953419e+00,8.587621366066293394e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000711e+00,8.575582732171584155e+01,1.772727653920942670e+00,9.811780642125652818e+00,8.095796604691692100e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.900000000000000355e+00,8.668584799876254010e+01,1.771355599533978253e+00,9.794770745742878759e+00,7.780989353466268021e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,8.778303759023108910e+01,1.763296334489700801e+00,9.833938197568206974e+00,7.253923568625458840e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.099999999999999645e+00,8.878966023979702982e+01,1.752344515607650921e+00,9.841672443965409300e+00,6.647747109825494216e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.200000000000001066e+00,8.954021819572504626e+01,1.825335489534005262e+00,9.763842331562221588e+00,8.858061962531536826e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.300000000000000711e+00,9.052830356169275206e+01,2.024645844033668318e+00,9.767742933298624308e+00,1.520683652086279314e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.400000000000000355e+00,9.143582812172992647e+01,1.970514256046160595e+00,9.744646349640522232e+00,1.289422007278259452e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000000e+00,9.243265839256862648e+01,2.030541624641515774e+00,9.752109415027659267e+00,1.446698004838612994e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.600000000000001421e+00,9.339208281155083569e+01,2.048777341910425154e+00,9.746839423011342873e+00,1.459279125878975847e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.700000000000001066e+00,9.446648477457911497e+01,2.124676964743066776e+00,9.780141133255163766e+00,1.664018683097602258e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.800000000000000711e+00,9.563445710817369161e+01,2.294760442297804293e+00,9.843601582464629018e+00,2.176635622954993798e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.900000000000000355e+00,9.663503641842129355e+01,2.104321469075693951e+00,9.849021703629452063e+00,1.467487205474160838e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,9.762821897744332489e+01,2.185899879919354305e+00,9.851789613364161369e+00,1.691127621310444529e-01,0.000000000000000000e+00,0.000000000000000000e+00
